# Alambda for ATLAS9 + DUSTY99 + blackbody spectra:
#  n      Teff  logg  Av   Rv          I        J        H       Ks
   0       500  3.50  1.0  3.1     0.505    0.259    0.168    0.114 
   0       500  3.50  2.0  3.1     1.008    0.517    0.337    0.228 
   0       500  3.50  3.0  3.1     1.509    0.776    0.505    0.342 
   0       500  3.50  4.0  3.1     2.009    1.034    0.674    0.456 
   0       500  3.50  5.0  3.1     2.508    1.292    0.842    0.569 
   0       500  3.50  6.0  3.1     3.005    1.549    1.010    0.683 
   0       500  3.50  7.0  3.1     3.501    1.807    1.178    0.797 
   0       500  3.50  8.0  3.1     3.995    2.065    1.346    0.910 
   0       500  3.50  9.0  3.1     4.488    2.322    1.514    1.024 
   0       500  3.50 10.0  3.1     4.979    2.579    1.682    1.138 
   1       500  4.00  1.0  3.1     0.505    0.259    0.169    0.115 
   1       500  4.00  2.0  3.1     1.009    0.518    0.337    0.229 
   1       500  4.00  3.0  3.1     1.512    0.776    0.506    0.343 
   1       500  4.00  4.0  3.1     2.014    1.035    0.675    0.457 
   1       500  4.00  5.0  3.1     2.513    1.293    0.843    0.572 
   1       500  4.00  6.0  3.1     3.012    1.551    1.011    0.686 
   1       500  4.00  7.0  3.1     3.509    1.809    1.180    0.800 
   1       500  4.00  8.0  3.1     4.004    2.066    1.348    0.914 
   1       500  4.00  9.0  3.1     4.498    2.324    1.516    1.028 
   1       500  4.00 10.0  3.1     4.991    2.581    1.684    1.142 
   2       500  4.50  1.0  3.1     0.505    0.259    0.169    0.115 
   2       500  4.50  2.0  3.1     1.009    0.517    0.338    0.230 
   2       500  4.50  3.0  3.1     1.512    0.776    0.507    0.345 
   2       500  4.50  4.0  3.1     2.013    1.034    0.676    0.460 
   2       500  4.50  5.0  3.1     2.512    1.292    0.845    0.575 
   2       500  4.50  6.0  3.1     3.010    1.550    1.013    0.690 
   2       500  4.50  7.0  3.1     3.507    1.807    1.182    0.805 
   2       500  4.50  8.0  3.1     4.002    2.065    1.350    0.920 
   2       500  4.50  9.0  3.1     4.496    2.322    1.519    1.034 
   2       500  4.50 10.0  3.1     4.989    2.580    1.687    1.149 
   3       500  5.00  1.0  3.1     0.507    0.259    0.170    0.116 
   3       500  5.00  2.0  3.1     1.013    0.518    0.339    0.232 
   3       500  5.00  3.0  3.1     1.518    0.777    0.509    0.347 
   3       500  5.00  4.0  3.1     2.021    1.036    0.678    0.463 
   3       500  5.00  5.0  3.1     2.523    1.294    0.847    0.579 
   3       500  5.00  6.0  3.1     3.023    1.553    1.016    0.695 
   3       500  5.00  7.0  3.1     3.522    1.811    1.185    0.811 
   3       500  5.00  8.0  3.1     4.020    2.069    1.355    0.926 
   3       500  5.00  9.0  3.1     4.516    2.327    1.523    1.042 
   3       500  5.00 10.0  3.1     5.011    2.585    1.692    1.158 
   4       500  5.50  1.0  3.1     0.510    0.260    0.171    0.117 
   4       500  5.50  2.0  3.1     1.019    0.520    0.341    0.234 
   4       500  5.50  3.0  3.1     1.527    0.779    0.511    0.350 
   4       500  5.50  4.0  3.1     2.033    1.039    0.681    0.467 
   4       500  5.50  5.0  3.1     2.538    1.298    0.851    0.584 
   4       500  5.50  6.0  3.1     3.042    1.557    1.021    0.700 
   4       500  5.50  7.0  3.1     3.544    1.816    1.190    0.817 
   4       500  5.50  8.0  3.1     4.045    2.075    1.360    0.934 
   4       500  5.50  9.0  3.1     4.544    2.333    1.530    1.050 
   4       500  5.50 10.0  3.1     5.042    2.592    1.699    1.167 
   5       500  6.00  1.0  3.1     0.513    0.260    0.171    0.118 
   5       500  6.00  2.0  3.1     1.026    0.521    0.342    0.235 
   5       500  6.00  3.0  3.1     1.536    0.781    0.512    0.352 
   5       500  6.00  4.0  3.1     2.046    1.041    0.683    0.470 
   5       500  6.00  5.0  3.1     2.554    1.301    0.853    0.587 
   5       500  6.00  6.0  3.1     3.061    1.561    1.023    0.704 
   5       500  6.00  7.0  3.1     3.566    1.821    1.193    0.821 
   5       500  6.00  8.0  3.1     4.070    2.080    1.364    0.939 
   5       500  6.00  9.0  3.1     4.573    2.340    1.533    1.056 
   5       500  6.00 10.0  3.1     5.074    2.599    1.703    1.173 
   6       600  3.50  1.0  3.1     0.519    0.262    0.170    0.115 
   6       600  3.50  2.0  3.1     1.037    0.524    0.340    0.229 
   6       600  3.50  3.0  3.1     1.553    0.785    0.511    0.344 
   6       600  3.50  4.0  3.1     2.068    1.047    0.681    0.458 
   6       600  3.50  5.0  3.1     2.581    1.308    0.851    0.572 
   6       600  3.50  6.0  3.1     3.093    1.569    1.021    0.687 
   6       600  3.50  7.0  3.1     3.604    1.829    1.191    0.801 
   6       600  3.50  8.0  3.1     4.114    2.090    1.361    0.915 
   6       600  3.50  9.0  3.1     4.622    2.350    1.531    1.029 
   6       600  3.50 10.0  3.1     5.128    2.610    1.700    1.143 
   7       600  4.00  1.0  3.1     0.520    0.262    0.170    0.115 
   7       600  4.00  2.0  3.1     1.038    0.524    0.341    0.230 
   7       600  4.00  3.0  3.1     1.555    0.786    0.511    0.345 
   7       600  4.00  4.0  3.1     2.071    1.047    0.681    0.460 
   7       600  4.00  5.0  3.1     2.585    1.308    0.852    0.574 
   7       600  4.00  6.0  3.1     3.098    1.569    1.022    0.689 
   7       600  4.00  7.0  3.1     3.609    1.830    1.192    0.803 
   7       600  4.00  8.0  3.1     4.119    2.091    1.362    0.918 
   7       600  4.00  9.0  3.1     4.628    2.351    1.531    1.032 
   7       600  4.00 10.0  3.1     5.135    2.612    1.701    1.147 
   8       600  4.50  1.0  3.1     0.517    0.261    0.170    0.115 
   8       600  4.50  2.0  3.1     1.033    0.522    0.341    0.231 
   8       600  4.50  3.0  3.1     1.547    0.783    0.511    0.346 
   8       600  4.50  4.0  3.1     2.060    1.044    0.681    0.461 
   8       600  4.50  5.0  3.1     2.572    1.304    0.851    0.576 
   8       600  4.50  6.0  3.1     3.082    1.565    1.022    0.692 
   8       600  4.50  7.0  3.1     3.591    1.825    1.192    0.807 
   8       600  4.50  8.0  3.1     4.099    2.085    1.361    0.922 
   8       600  4.50  9.0  3.1     4.605    2.345    1.531    1.037 
   8       600  4.50 10.0  3.1     5.110    2.604    1.701    1.152 
   9       600  5.00  1.0  3.1     0.519    0.261    0.171    0.116 
   9       600  5.00  2.0  3.1     1.036    0.523    0.342    0.233 
   9       600  5.00  3.0  3.1     1.552    0.784    0.513    0.349 
   9       600  5.00  4.0  3.1     2.067    1.045    0.684    0.465 
   9       600  5.00  5.0  3.1     2.580    1.306    0.854    0.581 
   9       600  5.00  6.0  3.1     3.092    1.567    1.025    0.697 
   9       600  5.00  7.0  3.1     3.602    1.827    1.195    0.813 
   9       600  5.00  8.0  3.1     4.111    2.088    1.366    0.929 
   9       600  5.00  9.0  3.1     4.619    2.348    1.536    1.044 
   9       600  5.00 10.0  3.1     5.125    2.608    1.706    1.160 
  10       600  5.50  1.0  3.1     0.520    0.262    0.172    0.117 
  10       600  5.50  2.0  3.1     1.040    0.524    0.344    0.234 
  10       600  5.50  3.0  3.1     1.558    0.786    0.516    0.351 
  10       600  5.50  4.0  3.1     2.074    1.048    0.687    0.468 
  10       600  5.50  5.0  3.1     2.589    1.309    0.858    0.585 
  10       600  5.50  6.0  3.1     3.103    1.571    1.030    0.702 
  10       600  5.50  7.0  3.1     3.616    1.832    1.201    0.818 
  10       600  5.50  8.0  3.1     4.127    2.093    1.372    0.935 
  10       600  5.50  9.0  3.1     4.636    2.354    1.543    1.052 
  10       600  5.50 10.0  3.1     5.145    2.614    1.713    1.168 
  11       600  6.00  1.0  3.1     0.523    0.263    0.173    0.118 
  11       600  6.00  2.0  3.1     1.045    0.526    0.345    0.235 
  11       600  6.00  3.0  3.1     1.566    0.788    0.517    0.353 
  11       600  6.00  4.0  3.1     2.084    1.051    0.689    0.470 
  11       600  6.00  5.0  3.1     2.602    1.313    0.861    0.588 
  11       600  6.00  6.0  3.1     3.118    1.575    1.032    0.705 
  11       600  6.00  7.0  3.1     3.633    1.837    1.204    0.823 
  11       600  6.00  8.0  3.1     4.147    2.099    1.375    0.940 
  11       600  6.00  9.0  3.1     4.659    2.360    1.547    1.057 
  11       600  6.00 10.0  3.1     5.170    2.621    1.718    1.174 
  12       700  3.50  1.0  3.1     0.530    0.265    0.172    0.115 
  12       700  3.50  2.0  3.1     1.059    0.530    0.344    0.230 
  12       700  3.50  3.0  3.1     1.586    0.794    0.516    0.345 
