# Alambda for ATLAS9 + DUSTY99 + blackbody spectra:
#  n      Teff  logg  Av   Rv          u        g        r        i        z
   0       500  3.50  1.0  3.1     0.000    0.990    0.781    0.595    0.379 
   0       500  3.50  2.0  3.1     0.000    1.978    1.561    1.190    0.756 
   0       500  3.50  3.0  3.1     0.000    2.965    2.341    1.783    1.133 
   0       500  3.50  4.0  3.1     0.000    3.951    3.119    2.377    1.510 
   0       500  3.50  5.0  3.1     0.000    4.935    3.898    2.969    1.885 
   0       500  3.50  6.0  3.1     0.000    5.918    4.676    3.561    2.260 
   0       500  3.50  7.0  3.1     0.000    6.899    5.453    4.153    2.634 
   0       500  3.50  8.0  3.1     0.000    7.879    6.230    4.744    3.008 
   0       500  3.50  9.0  3.1     0.000    8.858    7.006    5.334    3.381 
   0       500  3.50 10.0  3.1     0.000    9.835    7.782    5.924    3.754 
   1       500  4.00  1.0  3.1     0.000    0.994    0.782    0.595    0.379 
   1       500  4.00  2.0  3.1     0.000    1.987    1.563    1.190    0.758 
   1       500  4.00  3.0  3.1     0.000    2.978    2.343    1.784    1.135 
   1       500  4.00  4.0  3.1     0.000    3.967    3.123    2.378    1.512 
   1       500  4.00  5.0  3.1     0.000    4.955    3.903    2.971    1.889 
   1       500  4.00  6.0  3.1     0.000    5.941    4.682    3.563    2.264 
   1       500  4.00  7.0  3.1     0.000    6.925    5.460    4.155    2.639 
   1       500  4.00  8.0  3.1     0.000    7.908    6.238    4.746    3.013 
   1       500  4.00  9.0  3.1     0.000    8.890    7.015    5.337    3.387 
   1       500  4.00 10.0  3.1     0.000    9.870    7.791    5.927    3.760 
   2       500  4.50  1.0  3.1     0.000    0.994    0.780    0.596    0.379 
   2       500  4.50  2.0  3.1     0.000    1.986    1.559    1.191    0.757 
   2       500  4.50  3.0  3.1     0.000    2.977    2.338    1.785    1.135 
   2       500  4.50  4.0  3.1     0.000    3.966    3.117    2.379    1.512 
   2       500  4.50  5.0  3.1     0.000    4.953    3.895    2.972    1.888 
   2       500  4.50  6.0  3.1     0.000    5.939    4.672    3.564    2.263 
   2       500  4.50  7.0  3.1     0.000    6.923    5.449    4.156    2.638 
   2       500  4.50  8.0  3.1     0.000    7.906    6.225    4.748    3.012 
   2       500  4.50  9.0  3.1     0.000    8.887    7.001    5.339    3.386 
   2       500  4.50 10.0  3.1     0.000    9.867    7.776    5.929    3.759 
   3       500  5.00  1.0  3.1     0.000    0.998    0.781    0.596    0.380 
   3       500  5.00  2.0  3.1     0.000    1.995    1.561    1.192    0.760 
   3       500  5.00  3.0  3.1     0.000    2.990    2.341    1.787    1.139 
   3       500  5.00  4.0  3.1     0.000    3.983    3.120    2.382    1.517 
   3       500  5.00  5.0  3.1     0.000    4.974    3.899    2.976    1.895 
   3       500  5.00  6.0  3.1     0.000    5.963    4.677    3.569    2.272 
   3       500  5.00  7.0  3.1     0.000    6.951    5.455    4.162    2.648 
   3       500  5.00  8.0  3.1     0.000    7.938    6.232    4.754    3.024 
   3       500  5.00  9.0  3.1     0.000    8.922    7.009    5.346    3.399 
   3       500  5.00 10.0  3.1     0.000    9.905    7.785    5.937    3.773 
   4       500  5.50  1.0  3.1     0.000    1.003    0.783    0.597    0.383 
   4       500  5.50  2.0  3.1     0.000    2.004    1.565    1.194    0.765 
   4       500  5.50  3.0  3.1     0.000    3.003    2.347    1.790    1.146 
   4       500  5.50  4.0  3.1     0.000    4.000    3.128    2.386    1.527 
   4       500  5.50  5.0  3.1     0.000    4.996    3.908    2.981    1.907 
   4       500  5.50  6.0  3.1     0.000    5.990    4.688    3.576    2.286 
   4       500  5.50  7.0  3.1     0.000    6.982    5.468    4.169    2.664 
   4       500  5.50  8.0  3.1     0.000    7.972    6.246    4.763    3.041 
   4       500  5.50  9.0  3.1     0.000    8.960    7.025    5.355    3.418 
   4       500  5.50 10.0  3.1     0.000    9.947    7.802    5.947    3.794 
   5       500  6.00  1.0  3.1     0.000    1.008    0.785    0.599    0.386 
   5       500  6.00  2.0  3.1     0.000    2.013    1.569    1.197    0.770 
   5       500  6.00  3.0  3.1     0.000    3.017    2.352    1.795    1.154 
   5       500  6.00  4.0  3.1     0.000    4.018    3.135    2.391    1.537 
   5       500  6.00  5.0  3.1     0.000    5.018    3.917    2.988    1.919 
   5       500  6.00  6.0  3.1     0.000    6.016    4.699    3.583    2.301 
   5       500  6.00  7.0  3.1     0.000    7.013    5.480    4.178    2.681 
   5       500  6.00  8.0  3.1     0.000    8.007    6.261    4.772    3.061 
   5       500  6.00  9.0  3.1     0.000    9.000    7.041    5.366    3.440 
   5       500  6.00 10.0  3.1     0.000    9.991    7.820    5.959    3.818 
   6       600  3.50  1.0  3.1     0.000    1.018    0.790    0.601    0.390 
   6       600  3.50  2.0  3.1     0.000    2.033    1.580    1.201    0.780 
   6       600  3.50  3.0  3.1     0.000    3.047    2.369    1.801    1.168 
   6       600  3.50  4.0  3.1     0.000    4.059    3.157    2.399    1.555 
   6       600  3.50  5.0  3.1     0.000    5.069    3.945    2.997    1.941 
   6       600  3.50  6.0  3.1     0.000    6.078    4.733    3.595    2.326 
   6       600  3.50  7.0  3.1     0.000    7.084    5.519    4.191    2.711 
   6       600  3.50  8.0  3.1     0.000    8.088    6.306    4.787    3.094 
   6       600  3.50  9.0  3.1     0.000    9.091    7.092    5.383    3.477 
   6       600  3.50 10.0  3.1     0.000   10.092    7.877    5.977    3.859 
   7       600  4.00  1.0  3.1     0.000    1.019    0.790    0.602    0.391 
   7       600  4.00  2.0  3.1     0.000    2.036    1.580    1.202    0.780 
   7       600  4.00  3.0  3.1     0.000    3.051    2.369    1.802    1.169 
   7       600  4.00  4.0  3.1     0.000    4.064    3.158    2.401    1.557 
   7       600  4.00  5.0  3.1     0.000    5.075    3.947    2.999    1.944 
   7       600  4.00  6.0  3.1     0.000    6.085    4.734    3.597    2.330 
   7       600  4.00  7.0  3.1     0.000    7.092    5.522    4.194    2.715 
   7       600  4.00  8.0  3.1     0.000    8.098    6.309    4.790    3.099 
   7       600  4.00  9.0  3.1     0.000    9.102    7.095    5.385    3.482 
   7       600  4.00 10.0  3.1     0.000   10.104    7.881    5.980    3.864 
   8       600  4.50  1.0  3.1     0.000    1.014    0.787    0.600    0.388 
   8       600  4.50  2.0  3.1     0.000    2.026    1.575    1.200    0.776 
   8       600  4.50  3.0  3.1     0.000    3.036    2.361    1.799    1.162 
   8       600  4.50  4.0  3.1     0.000    4.045    3.148    2.397    1.548 
   8       600  4.50  5.0  3.1     0.000    5.051    3.933    2.995    1.932 
   8       600  4.50  6.0  3.1     0.000    6.056    4.718    3.591    2.316 
   8       600  4.50  7.0  3.1     0.000    7.059    5.503    4.188    2.699 
   8       600  4.50  8.0  3.1     0.000    8.060    6.287    4.783    3.081 
   8       600  4.50  9.0  3.1     0.000    9.059    7.070    5.378    3.463 
   8       600  4.50 10.0  3.1     0.000   10.056    7.853    5.972    3.843 
   9       600  5.00  1.0  3.1     0.000    1.016    0.788    0.601    0.390 
   9       600  5.00  2.0  3.1     0.000    2.030    1.576    1.202    0.778 
   9       600  5.00  3.0  3.1     0.000    3.042    2.363    1.801    1.166 
   9       600  5.00  4.0  3.1     0.000    4.053    3.150    2.400    1.553 
   9       600  5.00  5.0  3.1     0.000    5.062    3.936    2.999    1.939 
   9       600  5.00  6.0  3.1     0.000    6.068    4.721    3.596    2.324 
   9       600  5.00  7.0  3.1     0.000    7.073    5.507    4.193    2.709 
   9       600  5.00  8.0  3.1     0.000    8.076    6.291    4.789    3.092 
   9       600  5.00  9.0  3.1     0.000    9.078    7.075    5.385    3.475 
   9       600  5.00 10.0  3.1     0.000   10.077    7.858    5.980    3.856 
  10       600  5.50  1.0  3.1     0.000    1.019    0.789    0.602    0.392 
  10       600  5.50  2.0  3.1     0.000    2.036    1.578    1.204    0.783 
  10       600  5.50  3.0  3.1     0.000    3.052    2.366    1.805    1.173 
  10       600  5.50  4.0  3.1     0.000    4.065    3.154    2.405    1.561 
  10       600  5.50  5.0  3.1     0.000    5.077    3.941    3.004    1.949 
  10       600  5.50  6.0  3.1     0.000    6.086    4.728    3.602    2.336 
  10       600  5.50  7.0  3.1     0.000    7.094    5.514    4.200    2.722 
  10       600  5.50  8.0  3.1     0.000    8.100    6.299    4.797    3.108 
  10       600  5.50  9.0  3.1     0.000    9.104    7.084    5.394    3.492 
  10       600  5.50 10.0  3.1     0.000   10.107    7.868    5.989    3.876 
  11       600  6.00  1.0  3.1     1.407    1.022    0.791    0.604    0.395 
  11       600  6.00  2.0  3.1     2.814    2.042    1.581    1.207    0.788 
  11       600  6.00  3.0  3.1     4.221    3.061    2.371    1.809    1.181 
  11       600  6.00  4.0  3.1     5.628    4.078    3.160    2.410    1.572 
  11       600  6.00  5.0  3.1     7.034    5.093    3.949    3.010    1.962 
  11       600  6.00  6.0  3.1     8.441    6.106    4.737    3.610    2.351 
  11       600  6.00  7.0  3.1     9.848    7.118    5.524    4.208    2.740 
  11       600  6.00  8.0  3.1    11.255    8.128    6.311    4.807    3.127 
  11       600  6.00  9.0  3.1    12.661    9.135    7.098    5.404    3.514 
  11       600  6.00 10.0  3.1    14.068   10.141    7.883    6.001    3.899 
  12       700  3.50  1.0  3.1     1.449    1.034    0.797    0.607    0.402 
  12       700  3.50  2.0  3.1     2.898    2.066    1.593    1.213    0.802 
  12       700  3.50  3.0  3.1     4.347    3.097    2.389    1.818    1.201 
  12       700  3.50  4.0  3.1     5.794    4.126    3.184    2.422    1.599 
  12       700  3.50  5.0  3.1     7.242    5.153    3.978    3.025    1.996 
  12       700  3.50  6.0  3.1     8.688    6.179    4.772    3.627    2.392 
  12       700  3.50  7.0  3.1    10.134    7.202    5.566    4.229    2.787 
  12       700  3.50  8.0  3.1    11.579    8.224    6.359    4.830    3.180 
  12       700  3.50  9.0  3.1    13.023    9.244    7.151    5.430    3.572 
  12       700  3.50 10.0  3.1    14.467   10.262    7.943    6.029    3.964 
  13       700  4.00  1.0  3.1     1.450    1.035    0.797    0.608    0.402 
  13       700  4.00  2.0  3.1     2.899    2.068    1.594    1.214    0.803 
  13       700  4.00  3.0  3.1     4.348    3.100    2.390    1.819    1.203 
  13       700  4.00  4.0  3.1     5.796    4.130    3.185    2.424    1.602 
  13       700  4.00  5.0  3.1     7.243    5.158    3.980    3.027    1.999 
  13       700  4.00  6.0  3.1     8.690    6.184    4.775    3.630    2.395 
  13       700  4.00  7.0  3.1    10.136    7.209    5.569    4.232    2.791 
  13       700  4.00  8.0  3.1    11.581    8.232    6.362    4.833    3.185 
  13       700  4.00  9.0  3.1    13.026    9.253    7.155    5.433    3.577 
  13       700  4.00 10.0  3.1    14.470   10.272    7.947    6.032    3.969 
  14       700  4.50  1.0  3.1     1.448    1.032    0.796    0.606    0.400 
  14       700  4.50  2.0  3.1     2.896    2.062    1.591    1.211    0.799 
  14       700  4.50  3.0  3.1     4.343    3.090    2.385    1.816    1.196 
  14       700  4.50  4.0  3.1     5.789    4.116    3.178    2.419    1.593 
  14       700  4.50  5.0  3.1     7.235    5.141    3.972    3.022    1.988 
  14       700  4.50  6.0  3.1     8.680    6.164    4.764    3.624    2.382 
  14       700  4.50  7.0  3.1    10.124    7.185    5.556    4.225    2.775 
  14       700  4.50  8.0  3.1    11.568    8.204    6.348    4.825    3.167 
  14       700  4.50  9.0  3.1    13.012    9.221    7.139    5.424    3.558 
  14       700  4.50 10.0  3.1    14.455   10.237    7.929    6.023    3.948 
  15       700  5.00  1.0  3.1     1.450    1.032    0.796    0.606    0.400 
  15       700  5.00  2.0  3.1     2.899    2.063    1.591    1.212    0.799 
  15       700  5.00  3.0  3.1     4.347    3.092    2.385    1.817    1.198 
  15       700  5.00  4.0  3.1     5.795    4.119    3.179    2.421    1.594 
  15       700  5.00  5.0  3.1     7.242    5.144    3.972    3.024    1.990 
  15       700  5.00  6.0  3.1     8.689    6.168    4.765    3.626    2.385 
  15       700  5.00  7.0  3.1    10.135    7.189    5.557    4.227    2.778 
  15       700  5.00  8.0  3.1    11.580    8.209    6.349    4.828    3.171 
  15       700  5.00  9.0  3.1    13.025    9.227    7.140    5.428    3.562 
  15       700  5.00 10.0  3.1    14.469   10.244    7.930    6.027    3.953 
  16       700  5.50  1.0  3.1     1.452    1.034    0.796    0.608    0.403 
  16       700  5.50  2.0  3.1     2.903    2.066    1.592    1.214    0.804 
  16       700  5.50  3.0  3.1     4.354    3.097    2.387    1.820    1.204 
  16       700  5.50  4.0  3.1     5.803    4.126    3.181    2.425    1.602 
  16       700  5.50  5.0  3.1     7.252    5.153    3.975    3.029    2.000 
  16       700  5.50  6.0  3.1     8.701    6.178    4.768    3.631    2.396 
  16       700  5.50  7.0  3.1    10.148    7.201    5.560    4.234    2.791 
  16       700  5.50  8.0  3.1    11.595    8.223    6.352    4.835    3.186 
  16       700  5.50  9.0  3.1    13.042    9.243    7.144    5.435    3.579 
  16       700  5.50 10.0  3.1    14.487   10.261    7.935    6.035    3.971 
  17       700  6.00  1.0  3.1     1.454    1.037    0.797    0.609    0.406 
