# Alambda for ATLAS9 + DUSTY99 + blackbody spectra:
#  n      Teff  logg  Av   Rv          V        u        v        b        y     Hb_w     Hb_n
   0       500  3.50  1.0  3.1     0.777    0.000    0.000    0.000    0.970    0.000    0.000 
   0       500  3.50  2.0  3.1     1.553    0.000    0.000    0.000    1.940    0.000    0.000 
   0       500  3.50  3.0  3.1     2.328    0.000    0.000    0.000    2.909    0.000    0.000 
   0       500  3.50  4.0  3.1     3.103    0.000    0.000    0.000    3.878    0.000    0.000 
   0       500  3.50  5.0  3.1     3.878    0.000    0.000    0.000    4.847    0.000    0.000 
   0       500  3.50  6.0  3.1     4.653    0.000    0.000    0.000    5.815    0.000    0.000 
   0       500  3.50  7.0  3.1     5.427    0.000    0.000    0.000    6.782    0.000    0.000 
   0       500  3.50  8.0  3.1     6.201    0.000    0.000    0.000    7.749    0.000    0.000 
   0       500  3.50  9.0  3.1     6.975    0.000    0.000    0.000    8.716    0.000    0.000 
   0       500  3.50 10.0  3.1     7.748    0.000    0.000    0.000    9.682    0.000    0.000 
   1       500  4.00  1.0  3.1     0.777    0.000    0.000    0.000    0.971    0.000    0.000 
   1       500  4.00  2.0  3.1     1.553    0.000    0.000    0.000    1.941    0.000    0.000 
   1       500  4.00  3.0  3.1     2.329    0.000    0.000    0.000    2.911    0.000    0.000 
   1       500  4.00  4.0  3.1     3.105    0.000    0.000    0.000    3.880    0.000    0.000 
   1       500  4.00  5.0  3.1     3.881    0.000    0.000    0.000    4.849    0.000    0.000 
   1       500  4.00  6.0  3.1     4.656    0.000    0.000    0.000    5.818    0.000    0.000 
   1       500  4.00  7.0  3.1     5.431    0.000    0.000    0.000    6.786    0.000    0.000 
   1       500  4.00  8.0  3.1     6.205    0.000    0.000    0.000    7.754    0.000    0.000 
   1       500  4.00  9.0  3.1     6.979    0.000    0.000    0.000    8.721    0.000    0.000 
   1       500  4.00 10.0  3.1     7.753    0.000    0.000    0.000    9.687    0.000    0.000 
   2       500  4.50  1.0  3.1     0.776    0.000    0.000    0.000    0.971    0.000    0.000 
   2       500  4.50  2.0  3.1     1.552    0.000    0.000    0.000    1.941    0.000    0.000 
   2       500  4.50  3.0  3.1     2.327    0.000    0.000    0.000    2.911    0.000    0.000 
   2       500  4.50  4.0  3.1     3.102    0.000    0.000    0.000    3.880    0.000    0.000 
   2       500  4.50  5.0  3.1     3.877    0.000    0.000    0.000    4.849    0.000    0.000 
   2       500  4.50  6.0  3.1     4.651    0.000    0.000    0.000    5.817    0.000    0.000 
   2       500  4.50  7.0  3.1     5.425    0.000    0.000    0.000    6.785    0.000    0.000 
   2       500  4.50  8.0  3.1     6.199    0.000    0.000    0.000    7.753    0.000    0.000 
   2       500  4.50  9.0  3.1     6.973    0.000    0.000    0.000    8.720    0.000    0.000 
   2       500  4.50 10.0  3.1     7.746    0.000    0.000    0.000    9.686    0.000    0.000 
   3       500  5.00  1.0  3.1     0.777    0.000    0.000    0.000    0.972    0.000    0.000 
   3       500  5.00  2.0  3.1     1.553    0.000    0.000    0.000    1.943    0.000    0.000 
   3       500  5.00  3.0  3.1     2.329    0.000    0.000    0.000    2.913    0.000    0.000 
   3       500  5.00  4.0  3.1     3.105    0.000    0.000    0.000    3.883    0.000    0.000 
   3       500  5.00  5.0  3.1     3.880    0.000    0.000    0.000    4.853    0.000    0.000 
   3       500  5.00  6.0  3.1     4.655    0.000    0.000    0.000    5.822    0.000    0.000 
   3       500  5.00  7.0  3.1     5.429    0.000    0.000    0.000    6.791    0.000    0.000 
   3       500  5.00  8.0  3.1     6.204    0.000    0.000    0.000    7.759    0.000    0.000 
   3       500  5.00  9.0  3.1     6.978    0.000    0.000    0.000    8.727    0.000    0.000 
   3       500  5.00 10.0  3.1     7.751    0.000    0.000    0.000    9.695    0.000    0.000 
   4       500  5.50  1.0  3.1     0.778    0.000    0.000    1.154    0.973    1.158    1.178 
   4       500  5.50  2.0  3.1     1.556    0.000    0.000    2.307    1.945    2.316    2.356 
   4       500  5.50  3.0  3.1     2.333    0.000    0.000    3.461    2.917    3.473    3.534 
   4       500  5.50  4.0  3.1     3.110    0.000    0.000    4.614    3.888    4.630    4.712 
   4       500  5.50  5.0  3.1     3.887    0.000    0.000    5.767    4.859    5.787    5.890 
   4       500  5.50  6.0  3.1     4.663    0.000    0.000    6.919    5.829    6.944    7.068 
   4       500  5.50  7.0  3.1     5.438    0.000    0.000    8.072    6.799    8.101    8.246 
   4       500  5.50  8.0  3.1     6.213    0.000    0.000    9.224    7.769    9.258    9.425 
   4       500  5.50  9.0  3.1     6.988    0.000    0.000   10.376    8.738   10.414   10.603 
   4       500  5.50 10.0  3.1     7.763    0.000    0.000   11.528    9.706   11.570   11.781 
   5       500  6.00  1.0  3.1     0.779    0.000    0.000    1.184    0.974    1.161    1.182 
   5       500  6.00  2.0  3.1     1.559    0.000    0.000    2.366    1.947    2.322    2.364 
   5       500  6.00  3.0  3.1     2.338    0.000    0.000    3.548    2.920    3.482    3.546 
   5       500  6.00  4.0  3.1     3.116    0.000    0.000    4.729    3.893    4.642    4.728 
   5       500  6.00  5.0  3.1     3.894    0.000    0.000    5.909    4.865    5.802    5.910 
   5       500  6.00  6.0  3.1     4.671    0.000    0.000    7.087    5.836    6.961    7.092 
   5       500  6.00  7.0  3.1     5.448    0.000    0.000    8.265    6.807    8.121    8.274 
   5       500  6.00  8.0  3.1     6.225    0.000    0.000    9.442    7.778    9.280    9.456 
   5       500  6.00  9.0  3.1     7.001    0.000    0.000   10.617    8.748   10.439   10.638 
   5       500  6.00 10.0  3.1     7.776    0.000    0.000   11.792    9.718   11.598   11.819 
   6       600  3.50  1.0  3.1     0.786    0.000    1.321    1.191    0.976    1.162    1.182 
   6       600  3.50  2.0  3.1     1.571    0.000    2.643    2.380    1.952    2.323    2.365 
   6       600  3.50  3.0  3.1     2.355    0.000    3.964    3.569    2.927    3.485    3.547 
   6       600  3.50  4.0  3.1     3.139    0.000    5.285    4.756    3.902    4.646    4.729 
   6       600  3.50  5.0  3.1     3.921    0.000    6.607    5.942    4.876    5.807    5.911 
   6       600  3.50  6.0  3.1     4.704    0.000    7.928    7.127    5.850    6.968    7.093 
   6       600  3.50  7.0  3.1     5.485    0.000    9.250    8.311    6.823    8.128    8.275 
   6       600  3.50  8.0  3.1     6.267    0.000   10.571    9.493    7.796    9.288    9.457 
   6       600  3.50  9.0  3.1     7.047    0.000   11.892   10.675    8.769   10.448   10.639 
   6       600  3.50 10.0  3.1     7.827    0.000   13.213   11.855    9.741   11.608   11.820 
