# Alambda for ATLAS9 + DUSTY99 + blackbody spectra:
#  n      Teff  logg  Av   Rv          U        B        V        R        I        J        H        K
   0       500  3.50  1.0  3.1     0.000    1.019    0.777    0.529    0.503    0.253    0.167    0.108 
   0       500  3.50  2.0  3.1     0.000    2.037    1.553    1.057    1.005    0.505    0.334    0.217 
   0       500  3.50  3.0  3.1     0.000    3.055    2.328    1.584    1.506    0.758    0.501    0.325 
   0       500  3.50  4.0  3.1     0.000    4.073    3.104    2.110    2.006    1.010    0.668    0.434 
   0       500  3.50  5.0  3.1     0.000    5.090    3.879    2.635    2.507    1.262    0.834    0.542 
   0       500  3.50  6.0  3.1     0.000    6.107    4.653    3.158    3.007    1.513    1.001    0.650 
   0       500  3.50  7.0  3.1     0.000    7.123    5.428    3.680    3.506    1.765    1.167    0.758 
   0       500  3.50  8.0  3.1     0.000    8.140    6.202    4.202    4.005    2.016    1.334    0.866 
   0       500  3.50  9.0  3.1     0.000    9.155    6.975    4.722    4.503    2.267    1.500    0.974 
   0       500  3.50 10.0  3.1     0.000   10.171    7.749    5.242    5.001    2.518    1.667    1.082 
   1       500  4.00  1.0  3.1     0.000    1.021    0.777    0.530    0.503    0.253    0.168    0.109 
   1       500  4.00  2.0  3.1     0.000    2.041    1.554    1.059    1.005    0.506    0.335    0.218 
   1       500  4.00  3.0  3.1     0.000    3.061    2.330    1.587    1.507    0.758    0.502    0.327 
   1       500  4.00  4.0  3.1     0.000    4.080    3.106    2.114    2.008    1.011    0.669    0.436 
   1       500  4.00  5.0  3.1     0.000    5.100    3.882    2.639    2.509    1.263    0.836    0.545 
   1       500  4.00  6.0  3.1     0.000    6.118    4.657    3.164    3.009    1.515    1.002    0.654 
   1       500  4.00  7.0  3.1     0.000    7.137    5.432    3.687    3.509    1.767    1.169    0.763 
   1       500  4.00  8.0  3.1     0.000    8.155    6.207    4.209    4.008    2.018    1.336    0.872 
   1       500  4.00  9.0  3.1     0.000    9.172    6.981    4.730    4.507    2.269    1.502    0.981 
   1       500  4.00 10.0  3.1     0.000   10.189    7.755    5.250    5.005    2.521    1.669    1.089 
   2       500  4.50  1.0  3.1     0.000    1.021    0.776    0.530    0.503    0.253    0.168    0.111 
   2       500  4.50  2.0  3.1     0.000    2.041    1.552    1.059    1.005    0.505    0.335    0.221 
   2       500  4.50  3.0  3.1     0.000    3.061    2.327    1.586    1.506    0.758    0.503    0.332 
   2       500  4.50  4.0  3.1     0.000    4.081    3.102    2.112    2.007    1.011    0.670    0.442 
   2       500  4.50  5.0  3.1     0.000    5.100    3.877    2.638    2.508    1.263    0.837    0.552 
   2       500  4.50  6.0  3.1     0.000    6.119    4.652    3.162    3.008    1.515    1.004    0.662 
   2       500  4.50  7.0  3.1     0.000    7.137    5.426    3.684    3.507    1.766    1.171    0.773 
   2       500  4.50  8.0  3.1     0.000    8.155    6.200    4.206    4.007    2.018    1.338    0.883 
   2       500  4.50  9.0  3.1     0.000    9.173    6.973    4.727    4.505    2.269    1.505    0.993 
   2       500  4.50 10.0  3.1     0.000   10.190    7.746    5.247    5.003    2.521    1.672    1.102 
   3       500  5.00  1.0  3.1     0.000    1.024    0.777    0.532    0.504    0.254    0.168    0.112 
   3       500  5.00  2.0  3.1     0.000    2.047    1.553    1.063    1.006    0.508    0.337    0.224 
   3       500  5.00  3.0  3.1     0.000    3.069    2.330    1.592    1.509    0.761    0.505    0.336 
   3       500  5.00  4.0  3.1     0.000    4.091    3.105    2.120    2.010    1.015    0.673    0.448 
   3       500  5.00  5.0  3.1     0.000    5.113    3.881    2.647    2.511    1.268    0.841    0.560 
   3       500  5.00  6.0  3.1     0.000    6.133    4.656    3.172    3.012    1.521    1.009    0.672 
   3       500  5.00  7.0  3.1     0.000    7.154    5.431    3.697    3.512    1.774    1.176    0.783 
   3       500  5.00  8.0  3.1     0.000    8.174    6.205    4.220    4.012    2.026    1.344    0.895 
   3       500  5.00  9.0  3.1     0.000    9.193    6.979    4.742    4.511    2.278    1.511    1.006 
   3       500  5.00 10.0  3.1     0.000   10.212    7.753    5.263    5.010    2.530    1.679    1.118 
   4       500  5.50  1.0  3.1     0.000    1.026    0.779    0.535    0.505    0.255    0.169    0.114 
   4       500  5.50  2.0  3.1     0.000    2.051    1.557    1.069    1.009    0.511    0.338    0.227 
   4       500  5.50  3.0  3.1     0.000    3.075    2.334    1.600    1.512    0.765    0.507    0.341 
   4       500  5.50  4.0  3.1     0.000    4.098    3.111    2.131    2.015    1.020    0.676    0.454 
   4       500  5.50  5.0  3.1     0.000    5.121    3.888    2.660    2.517    1.275    0.845    0.567 
   4       500  5.50  6.0  3.1     0.000    6.144    4.664    3.188    3.019    1.529    1.013    0.681 
   4       500  5.50  7.0  3.1     0.000    7.165    5.440    3.714    3.520    1.783    1.182    0.794 
   4       500  5.50  8.0  3.1     0.000    8.187    6.215    4.240    4.021    2.036    1.350    0.907 
   4       500  5.50  9.0  3.1     0.000    9.207    6.991    4.764    4.521    2.290    1.518    1.020 
   4       500  5.50 10.0  3.1     0.000   10.228    7.765    5.287    5.021    2.543    1.687    1.133 
   5       500  6.00  1.0  3.1     0.000    1.027    0.780    0.539    0.506    0.257    0.170    0.115 
   5       500  6.00  2.0  3.1     0.000    2.053    1.560    1.075    1.011    0.513    0.339    0.230 
   5       500  6.00  3.0  3.1     0.000    3.079    2.339    1.610    1.516    0.769    0.509    0.344 
   5       500  6.00  4.0  3.1     0.000    4.104    3.117    2.143    2.020    1.025    0.678    0.458 
   5       500  6.00  5.0  3.1     0.000    5.129    3.895    2.675    2.523    1.280    0.847    0.573 
   5       500  6.00  6.0  3.1     0.000    6.152    4.673    3.206    3.026    1.536    1.016    0.687 
   5       500  6.00  7.0  3.1     0.000    7.176    5.450    3.735    3.528    1.791    1.185    0.801 
   5       500  6.00  8.0  3.1     0.000    8.198    6.227    4.263    4.030    2.045    1.354    0.916 
   5       500  6.00  9.0  3.1     0.000    9.220    7.003    4.789    4.531    2.300    1.522    1.030 
   5       500  6.00 10.0  3.1     0.000   10.242    7.779    5.315    5.032    2.554    1.691    1.144 
   6       600  3.50  1.0  3.1     0.000    1.032    0.786    0.544    0.509    0.257    0.169    0.109 
   6       600  3.50  2.0  3.1     0.000    2.063    1.572    1.087    1.017    0.514    0.339    0.219 
   6       600  3.50  3.0  3.1     0.000    3.094    2.356    1.628    1.525    0.771    0.507    0.328 
