# File generated by CMD 3.0 (http://stev.oapd.inaf.it/cmd) on Tue Jul 11 20:03:18 CEST 2017
# isochrones PARSEC release v1.2S + COLIBRI release PR16, as in Marigo et al. 2017
# Basic reference: Marigo et al. (2017), ApJ, 835, 77
# Photometric system: Gaia's G, G_BP and G_RP (Vegamags)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# Kind of output: isochrone tables
# Zini Age Mini  Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.01600 3.98e+06 0.0900000036    0.090 -1.670  3.4135  3.669    0  0.000  0.463     0.00     0.00 -1  1.32e-14      0.00 7.000e-01 2.990e-01 1.100e-03 5.880e-04 3.170e-03 -1.000 1.000e-03 8.946 10.726 13.212 9.538
0.01600 3.98e+06 0.0983064547    0.098 -1.643  3.4161  3.691    0  0.000  0.463     0.00     0.00 -1  1.32e-14      0.00 7.000e-01 2.990e-01 1.100e-03 5.880e-04 3.170e-03 -1.000 1.000e-03 8.878 10.963 13.677 9.475
0.01600 3.98e+06 0.1030146927    0.103 -1.624  3.4181  3.699    0  0.000  0.463     0.00     0.00 -1  1.33e-14      0.00 7.000e-01 2.990e-01 1.100e-03 5.880e-04 3.170e-03 -1.000 1.000e-03 8.830 10.860 13.516 9.379
0.01600 3.98e+06 0.1109759212    0.111 -1.588  3.4217  3.710    0  0.000  0.463     0.00     0.00 -1  1.38e-14      0.00 7.000e-01 2.990e-01 1.100e-03 5.880e-04 3.170e-03 -1.000 1.000e-03 8.740 10.682 13.243 9.214
0.01600 3.98e+06 0.1189619079    0.119 -1.569  3.4235  3.728    0  0.000  0.463     0.00     0.00 -1  1.36e-14      0.00 7.000e-01 2.990e-01 1.100e-03 5.880e-04 3.170e-03 -1.000 1.000e-03 8.693 10.578 13.077 9.117
0.01600 3.98e+06 0.1265736967    0.127 -1.534  3.4272  3.735    0  0.000  0.463     0.00     0.00 -1  1.42e-14      0.00 7.000e-01 2.990e-01 1.100e-03 5.880e-04 3.170e-03 -1.000 1.000e-03 8.606 10.410 12.821 8.962
0.01600 3.98e+06 0.1342325211    0.134 -1.505  3.4303  3.744    0  0.000  0.463     0.00     0.00 -1  1.46e-14      0.00 7.000e-01 2.990e-01 1.100e-03 5.880e-04 3.170e-03 -1.000 1.000e-03 8.532 10.271 12.611 8.833
0.01600 3.98e+06 0.1405483931    0.140 -1.489  3.4320  3.755    0  0.000  0.463     0.00     0.00 -1  1.46e-14      0.00 7.000e-01 2.990e-01 1.100e-03 5.880e-04 3.170e-03 -1.000 9.999e-04 8.493 10.206 12.522 8.772
0.01600 3.98e+06 0.1485569924    0.149 -1.454  3.4361  3.760    0  0.000  0.463     0.00     0.00 -1  1.53e-14      0.00 7.000e-01 2.990e-01 1.100e-03 5.880e-04 3.170e-03 -1.000 1.000e-03 8.404 10.068 12.346 8.642
0.01600 3.98e+06 0.1563905030    0.156 -1.426  3.4392  3.767    0  0.000  0.463     0.00     0.00 -1  1.57e-14      0.00 7.000e-01 2.990e-01 1.100e-03 5.880e-04 3.170e-03 -1.000 1.000e-03 8.335 9.962 12.209 8.541
0.01600 3.98e+06 0.1626372635    0.163 -1.407  3.4416  3.774    0  0.000  0.463     0.00     0.00 -1   1.6e-14      0.00 7.000e-01 2.990e-01 1.100e-03 5.880e-04 3.170e-03 -1.000 9.999e-04 8.286 9.881 12.105 8.466
0.01600 3.98e+06 0.1756661534    0.176 -1.353  3.4481  3.780    0  0.000  0.463     0.00     0.00 -1  1.73e-14      0.00 7.000e-01 2.990e-01 1.100e-03 5.880e-04 3.170e-03 -1.000 1.000e-03 8.152 9.682 11.838 8.281
